seq,title,year,doi,doi_link,google_scholar,openalex_search,unpaywall_api
25,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *",2024,10.2139/ssrn.4881126,https://doi.org/10.2139/ssrn.4881126,https://scholar.google.com/scholar?q=Investing%20Abroad%2C%20Transforming%20at%20Home%3A%20An%20Empirical%20Study%20of%20Outward%20Foreign%20Direct%20Investment%20and%20Korean%20Manufacturing%27s%20Servicification%2A%20%2A,https://openalex.org/works?search=Investing%20Abroad%2C%20Transforming%20at%20Home%3A%20An%20Empirical%20Study%20of%20Outward%20Foreign%20Direct%20Investment%20and%20Korean%20Manufacturing%27s%20Servicification%2A%20%2A,https://api.unpaywall.org/v2/10.2139%2Fssrn.4881126
44,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,2022,10.1007/s10490-021-09751-3,https://doi.org/10.1007/s10490-021-09751-3,https://scholar.google.com/scholar?q=Do%20internationalizing%20business%20group%20affiliates%20perform%20better%20after%20promarket%20reforms%3F%20Evidence%20from%20Korean%20SMEs,https://openalex.org/works?search=Do%20internationalizing%20business%20group%20affiliates%20perform%20better%20after%20promarket%20reforms%3F%20Evidence%20from%20Korean%20SMEs,https://api.unpaywall.org/v2/10.1007%2Fs10490-021-09751-3
56,When geography matters: International diversification and firm performance of Spanish multinationals,2020,10.1177/2340944420898981,https://doi.org/10.1177/2340944420898981,https://scholar.google.com/scholar?q=When%20geography%20matters%3A%20International%20diversification%20and%20firm%20performance%20of%20Spanish%20multinationals,https://openalex.org/works?search=When%20geography%20matters%3A%20International%20diversification%20and%20firm%20performance%20of%20Spanish%20multinationals,https://api.unpaywall.org/v2/10.1177%2F2340944420898981
64,Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ownership structure,2020,10.1057/s41291-018-0045-7,https://doi.org/10.1057/s41291-018-0045-7,https://scholar.google.com/scholar?q=Speed%20of%20FDI%20expansions%20and%20the%20survival%20of%20Korean%20SMEs%3A%20the%20moderating%20role%20of%20ownership%20structure,https://openalex.org/works?search=Speed%20of%20FDI%20expansions%20and%20the%20survival%20of%20Korean%20SMEs%3A%20the%20moderating%20role%20of%20ownership%20structure,https://api.unpaywall.org/v2/10.1057%2Fs41291-018-0045-7
76,The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,2018,10.5771/0949-6181-2018-4-621,https://doi.org/10.5771/0949-6181-2018-4-621,https://scholar.google.com/scholar?q=The%20role%20of%20absorptive%20capacity%20in%20the%20relationship%20between%20firm%20internationalization%20and%20innovation%3A%20evidence%20from%20Russia,https://openalex.org/works?search=The%20role%20of%20absorptive%20capacity%20in%20the%20relationship%20between%20firm%20internationalization%20and%20innovation%3A%20evidence%20from%20Russia,https://api.unpaywall.org/v2/10.5771%2F0949-6181-2018-4-621
79,Performance effects of multinationality: evidence from European companies,2017,10.1504/ejim.2016.079528,https://doi.org/10.1504/ejim.2016.079528,https://scholar.google.com/scholar?q=Performance%20effects%20of%20multinationality%3A%20evidence%20from%20European%20companies,https://openalex.org/works?search=Performance%20effects%20of%20multinationality%3A%20evidence%20from%20European%20companies,https://api.unpaywall.org/v2/10.1504%2Fejim.2016.079528
86,Productivity Gap: A Chance or an Obstacle in Absorbing Benefits from FDI in a Host Country,2017,10.15678/eber.2017.050407,https://doi.org/10.15678/eber.2017.050407,https://scholar.google.com/scholar?q=Productivity%20Gap%3A%20A%20Chance%20or%20an%20Obstacle%20in%20Absorbing%20Benefits%20from%20FDI%20in%20a%20Host%20Country,https://openalex.org/works?search=Productivity%20Gap%3A%20A%20Chance%20or%20an%20Obstacle%20in%20Absorbing%20Benefits%20from%20FDI%20in%20a%20Host%20Country,https://api.unpaywall.org/v2/10.15678%2Feber.2017.050407
116,"Intangibles, Export Intensity, and Company Performance in the French Wine Industry",2013,10.1017/jwe.2013.27,https://doi.org/10.1017/jwe.2013.27,https://scholar.google.com/scholar?q=Intangibles%2C%20Export%20Intensity%2C%20and%20Company%20Performance%20in%20the%20French%20Wine%20Industry,https://openalex.org/works?search=Intangibles%2C%20Export%20Intensity%2C%20and%20Company%20Performance%20in%20the%20French%20Wine%20Industry,https://api.unpaywall.org/v2/10.1017%2Fjwe.2013.27
128,Globalization and workplace performance in Canada: Cross-sectional and dynamic analyses of productivity and wage outcomes,2012,10.1016/j.rssm.2012.04.001,https://doi.org/10.1016/j.rssm.2012.04.001,https://scholar.google.com/scholar?q=Globalization%20and%20workplace%20performance%20in%20Canada%3A%20Cross-sectional%20and%20dynamic%20analyses%20of%20productivity%20and%20wage%20outcomes,https://openalex.org/works?search=Globalization%20and%20workplace%20performance%20in%20Canada%3A%20Cross-sectional%20and%20dynamic%20analyses%20of%20productivity%20and%20wage%20outcomes,https://api.unpaywall.org/v2/10.1016%2Fj.rssm.2012.04.001
129,Is the effect really so large? Firm-level evidence on the role of FDI in a transition economy,2012,10.1111/j.1468-0351.2012.00433.x,https://doi.org/10.1111/j.1468-0351.2012.00433.x,https://scholar.google.com/scholar?q=Is%20the%20effect%20really%20so%20large%3F%20Firm-level%20evidence%20on%20the%20role%20of%20FDI%20in%20a%20transition%20economy,https://openalex.org/works?search=Is%20the%20effect%20really%20so%20large%3F%20Firm-level%20evidence%20on%20the%20role%20of%20FDI%20in%20a%20transition%20economy,https://api.unpaywall.org/v2/10.1111%2Fj.1468-0351.2012.00433.x
