id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason
S0082,Is Cost Competitiveness a Sufficient Driving Force for Croatian Exports?,"Novinc, Filip; Skuflic, Lorena",2025,SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS,10.2478/jeb-2025-0016,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:cost_comp_export
S0217,The Presence of Foreign Capital and the Internationalization of Portuguese Industrial SMEs,"Pacheco, Luis; Lobo, Carla; Maldonado, Isabel",2022,JOURNAL OF RISK AND FINANCIAL MANAGEMENT,10.3390/jrfm15020068,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:for_cap_intl
S0220,Servicification and manufacturing exports: Evidence from India,"Pattnayak, Sanja Samirana; Chadha, Alka",2022,ECONOMIC MODELLING,10.1016/j.econmod.2022.105756,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:macro:servicification
S0238,University-Industry Collaboration in a Cross-Border Iberian Regions,"Mascarenhas, Carla; Marques, Carla; Ferreira, Joao J.; Galvao, Anderson",2022,INTERNATIONAL REGIONAL SCIENCE REVIEW,10.1177/01600176211066470,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:uni_ind_collab
S0281,Vanguards of globalization: Organization and political action among America's pro-trade firms,"Osgood, Iain",2021,BUSINESS AND POLITICS,10.1017/bap.2019.31,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:political_action
S0300,How does manufacturing output affect export behaviors in emerging market economies? Evidence from a dynamic panel ARDL for ten biggest emerging market economies,"Sankaran, Arumugam; Krishna, Arjun; Vadivel, Arjunan",2021,FUTURE BUSINESS JOURNAL,10.1186/s43093-021-00072-x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:mfg_output_export
S0303,Does the Technological Diversification and R&D Internationalization of eMNCs Promote Enterprise Innovation? An Empirical Study on China's Publicly Listed Companies,"Li, Jing; Wang, Jun",2021,JOURNAL OF GLOBAL INFORMATION MANAGEMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:td_rd_innov
S0308,Determinants of Domestic Value Added in Exports: Empirical Evidence from India's Manufacturing Sectors,"Aggarwal, Sakshi; Chakraborty, Debashis; Bhattacharyya, Ranajoy",2021,GLOBAL BUSINESS REVIEW,10.1177/09721509211050138,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:dva_determinants
S0345,Environmental sustainability practices and exports: The interplay of strategy and institutions in Latin America,"Arora, Punit; De, Prabal",2020,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2020.101094,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:env_sust_export
S0411,"CAPITAL STRUCTURE DETERMINANTS INSIDE MULTINATIONAL AND DOMESTIC COMPANIES, EVIDENCE FROM IRAN","Fatemian, Farhad; Rezaei, Farzin",2018,HUMANIDADES & INOVACAO,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:fin:capital_structure
S0424,FIRM HETEROGENEITY AND EXPORT ACTIVITY OF EUROPEAN FIRMS: A QUANTILE ANALYSIS,"Orts, Vicente; Marti, Josep",2018,REVISTA DE ECONOMIA MUNDIAL,10.33776/rem.v0i49.3893,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:firm_het_exp_act
S0425,THE ORGANIZATION OF KNOWLEDGE IN MULTINATIONAL FIRMS,"Gumpert, Anna",2018,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:strat:knowledge_org
S0428,Credit constraints and firm market entry decision: Firm-level evidence from internationalizing Chinese multinationals,"Qi, Jianhong; Zhang, Zhaoyong; Liu, Hui",2018,NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,10.1016/j.najef.2018.04.012,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:credit_constraint
S0461,Motivators of SME initial export choice and the European Union regional effect in manufacturing,"Stouraitis, Vassilios; Harun, Mior Harris Mior; Kyritsis, Markos",2017,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,10.1108/ijebr-05-2015-0120,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:motivators_export
S0475,CO<sub>2</sub> emission intensity and exporting: Evidence from firm-level data,"Richter, Philipp M.; Schiersch, Alexander",2017,EUROPEAN ECONOMIC REVIEW,10.1016/j.euroecorev.2017.07.011,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:co2_export
S0489,THE INTERNATIONALIZATION OF AN ALLIANCE PORTFOLIO AS AN SME DEVELOPMENT DRIVER,"Castiglioni, Marco; Castro, Ignacio; Luis Galan, Jose",2017,MANAGING ALLIANCE PORTFOLIOS AND NETWORKS,10.1108/978-1-68123-181-520251003,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:alliance_dev
S0492,Does transitioning from family to non-family controlled firm influence internationalization?,"Monreal-Perez, Joaquin; Sanchez-Marin, Gregorio",2017,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/jsbed-02-2017-0029,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:ownership_intl
S0522,The Corporate Social Performance of Developing Country Multinationals,"Zyglidopoulos, Stelios; Williamson, Peter; Symeou, Pavlos",2016,BUSINESS ETHICS QUARTERLY,10.1017/beq.2016.41,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:csp_mnc
S0528,Capital structure and internationalization: The case of Portuguese industrial SMEs,"Pacheco, Luis",2016,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/j.ribaf.2016.07.014,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:fin:capital_structure
S0531,The Institutional Influence on the Location Strategies of Multinational Enterprises from Emerging Economies: Evidence from China's Cross-border Mergers and Acquisitions,"Buckley, Peter J.; Yu, Pei; Liu, Qing; Munjal, Surender; Tao, Pan",2016,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2016.21,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:strat:location
S0533,Exports and Participation in CDM in Technology Intensive Industries in India,"Sahu, Santosh Kumar; Narayanan, K.",2016,"GLOBALIZATION OF INDIAN INDUSTRIES: PRODUCTIVITY, EXPORTS AND INVESTMENT",10.1007/978-981-10-0083-6_6,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:cdm_participation
S0545,Colliding Employer-Employee Perspectives of Employee Turnover: Evidence from a Born-Global Industry,"Pereira, Vijay; Malik, Ashish; Sharma, Kajal",2016,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21751,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:turnover
S0561,Foreign direct investment in R&D and domestic entrepreneurship in China's manufacturing industries,"Anwar, Sajid; Sun, Sizhong",2015,APPLIED ECONOMICS,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:rd_entrepreneur
S0565,Foreign multinationals and domestic innovation: Intra-industry effects and firm heterogeneity,"Crescenzi, Riccardo; Gagliardi, Luisa; Iammarino, Simona",2015,RESEARCH POLICY,10.1016/j.respol.2014.12.009,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:for_mn_dom_innov
S0592,THE INTERNATIONALIZATION OF AN ALLIANCE PORTFOLIO AS A SME DEVELOPMENT DRIVER,"Castiglioni, Marco; Castro, Ignacio; Luis Galan, Jose",2015,STRATEGIC ALLIANCES FOR SME DEVELOPMENT,10.1108/978-1-68123-906-420251006,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:alliance_dev
S0632,Network analysis to detect common strategies in Italian foreign direct investment,"De Masi, G.; Giovannetti, G.; Ricchiuti, G.",2013,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,10.1016/j.physa.2012.10.033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:network_strat
S0638,Global cities and multinational enterprise location strategy,"Goerzen, Anthony; Asmussen, Christian Geisler; Nielsen, Bo Bernhard",2013,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/9781137472311.0008,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:strat:location
S0700,Drivers and impacts in the globalization of corporate R&D: an introduction based on the European experience,"Moncada-Paterno-Castello, Pietro; Vivarelli, Marco; Voigt, Peter",2011,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr005,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:rd_globalization
S0723,R&D intensity for innovative and adaptive purposes in overseas subsidiaries: Evidence from Japanese multinational enterprises,"Todo, Yasuyuki; Shimizutani, Satoshi",2009,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/j.ribaf.2008.03.002,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:DV:rd_subsidiary
S0728,Modeling the diffusion of strategies: an application to exporting,"Clerides, Sofronis; Kassinis, George",2009,INDUSTRIAL AND CORPORATE CHANGE,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:method:diffusion
S0739,"Corporate diversification: The impact of foreign competition, industry globalization, and product diversification","Wiersema, Margarethe F.; Bowen, Harry P.",2008,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.653,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:corp_div_glob
S0743,Network embeddedness and new-venture internationalization: Analyzing international linkages in the German biotech industry,"Al-Laham, Andreas; Souitaris, Vangelis",2008,JOURNAL OF BUSINESS VENTURING,10.1016/j.jbusvent.2007.09.001,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:network_intl
S0745,Is quality management a prime requisite for globalization? Some facts from the sports industry,"Abdi, Syed N. A.; Awan, Hayat M.; Bhatti, M. Ishaq",2008,QUALITY & QUANTITY,10.1007/s11135-007-9135-x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:quality_globali
S0776,Information acquisition activities: A study of global start-up exporting companies,"Yeoh, PL",2000,JOURNAL OF INTERNATIONAL MARKETING,10.1509/jimk.8.3.36.19636,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,N,HARD:ant:info_acquisition
