priority_rank,seq,year,journal,title,doi,doi_link,google_scholar,icrv,dpl,fp_type,country_guess,pdf_status,source_url_or_pdf_path,pdf_filename,extraction_note,sample_size_n,converted_r,conversion_formula,reported_coefficient,t_value,p_value,effect_direction,model_type,study_period_start,study_period_end,notes_for_extractor,ready_for_r
47,493,2009,INTERNATIONAL BUSINESS REVIEW,Exporting and productivity in business services: Evidence from the United States,10.1016/j.ibusrev.2009.08.002,https://doi.org/10.1016/j.ibusrev.2009.08.002,https://scholar.google.com/scholar?q=Exporting%20and%20productivity%20in%20business%20services%3A%20Evidence%20from%20the%20United%20States,1,2,productivity,TO_EXTRACT,LOCAL_PDF,https://publications.aston.ac.uk/id/eprint/38591/1/Exporting_and_productivity_in_business_services.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
164,533,2024,JOURNAL OF ECONOMIC INTEGRATION,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,10.11130/jei.2024033,https://doi.org/10.11130/jei.2024033,https://scholar.google.com/scholar?q=Internationalization%20at%20Inception%3A%20Insights%20from%20the%20Indian%20Textile%20Industry%27s%20Born%20Globals,3,2,roa,India,LOCAL_PDF,https://www.e-jei.org/upload/jei-2024033.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
284,461,2026,MULTINATIONAL BUSINESS REVIEW,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",10.1108/mbr-04-2025-0104,https://doi.org/10.1108/mbr-04-2025-0104,https://scholar.google.com/scholar?q=The%20performance%20effects%20of%20%22added%20cultural%20distance%22%20in%20multinational%20expansion%20paths%3A%20generalizable%20and%20contextual%20determinants,1,3,,TO_EXTRACT,LOCAL_PDF,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),,,,,,,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,NO
806,906,2013,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT FIRMS IN MYANMAR",10.3846/20294913.2013.869513,https://doi.org/10.3846/20294913.2013.869513,https://scholar.google.com/scholar?q=OWNERSHIP%2C%20TECHNOLOGICAL%20CAPABILITIES%20AND%20EXPORTS%20OF%20GARMENT%20FIRMS%20IN%20MYANMAR,6,3,,,LOCAL_PDF,https://journals.vilniustech.lt/index.php/TEDE/article/download/4318/3663,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,,,,source:wos,0
1012,1112,2016,JOURNAL OF COMPETITIVENESS,What Drives International Competitiveness? An Empirical Test in Emerging Indonesian Market,10.7441/joc.2016.04.08,https://doi.org/10.7441/joc.2016.04.08,https://scholar.google.com/scholar?q=What%20Drives%20International%20Competitiveness%3F%20An%20Empirical%20Test%20in%20Emerging%20Indonesian%20Market,0,3,roa,,LOCAL_PDF,https://www.cjournal.cz/files/237.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1241,1341,2019,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,INTER-RELATIONSHIP BETWEEN FIRM GROWTH AND PROFITABILITY IN A CONTEXT OF ECONOMIC CRISIS,10.3846/jbem.2019.6928,https://doi.org/10.3846/jbem.2019.6928,https://scholar.google.com/scholar?q=INTER-RELATIONSHIP%20BETWEEN%20FIRM%20GROWTH%20AND%20PROFITABILITY%20IN%20A%20CONTEXT%20OF%20ECONOMIC%20CRISIS,1,3,sales_growth,,LOCAL_PDF,https://journals.vgtu.lt/index.php/JBEM/article/download/6928/6993,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,panel,,,source:multi,0
1258,1358,2019,JOURNAL OF SOUTH ASIAN DEVELOPMENT,International Trade and Productivity Growth in Indian Industry: Evidence from the Organized Manufacturing Sector,10.1177/0973174119839878,https://doi.org/10.1177/0973174119839878,https://scholar.google.com/scholar?q=International%20Trade%20and%20Productivity%20Growth%20in%20Indian%20Industry%3A%20Evidence%20from%20the%20Organized%20Manufacturing%20Sector,3,3,,,LOCAL_PDF,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,panel,,,source:wos,0
1264,1364,2019,SAGE OPEN,Financial Support and Growth of Township and Village Enterprises in China: Fresh Evidence From Regional Analyses,10.1177/2158244019858444,https://doi.org/10.1177/2158244019858444,https://scholar.google.com/scholar?q=Financial%20Support%20and%20Growth%20of%20Township%20and%20Village%20Enterprises%20in%20China%3A%20Fresh%20Evidence%20From%20Regional%20Analyses,2,3,,,LOCAL_PDF,https://journals.sagepub.com/doi/pdf/10.1177/2158244019858444,,NEED_R | NEED_N | NEED_FP | AUTO_EXTRACT_READY,,,,,,,,panel,,,source:wos,0
1333,1433,2020,WORLD ECONOMY,"Trading activities, productivity and markups: Evidence for Spanish manufacturing",10.1111/twec.12892,https://doi.org/10.1111/twec.12892,https://scholar.google.com/scholar?q=Trading%20activities%2C%20productivity%20and%20markups%3A%20Evidence%20for%20Spanish%20manufacturing,1,3,productivity,,LOCAL_PDF,https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
1334,1434,2019,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,10.13106/jafeb.2019.vol6.no4.37,https://doi.org/10.13106/jafeb.2019.vol6.no4.37,https://scholar.google.com/scholar?q=Export%20Performance%20and%20Stock%20Return%3A%20A%20Case%20of%20Fishery%20Firms%20Listing%20in%20Vietnam%20Stock%20Markets,3,3,tobin_q,,LOCAL_PDF,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf,,NEED_R | NEED_N | AUTO_EXTRACT_READY,,,,,,,,,,,source:multi,0
